name,phone,ip_address,promo_used,name_pattern_score,ip_count,fraud_score,is_fraud
Katherine Wright,138.389.5501x402,192.168.2.32,5,0,1,1,No
Dawn Cooper,+1-458-669-2744x83825,192.168.2.114,2,0,1,1,No
Lawrence Smith,+1-405-245-9133x7912,192.168.1.221,3,0,1,1,No
Vanessa Beard,869-238-9163,192.168.3.239,4,0,1,1,No
Jennifer Carrillo,001-663-191-9228x42934,192.168.0.185,5,0,1,1,No
Martin Holder,771-353-2072x34494,192.168.0.45,7,0,3,1,No
Anthony Smith,459.535.1328x670,192.168.2.34,6,0,1,1,No
Meghan Mills,+1-043-173-3799x326,192.168.1.185,3,0,1,1,No
Rachel Owens,080.999.8236x95164,192.168.3.41,9,0,6,1,No
Paul Pearson,+1-389-452-0938,192.168.2.187,4,0,1,1,No
Kimberly Nelson,448-751-0082x06131,192.168.2.12,5,0,1,1,No
Angela Coleman,(590)176-7274,192.168.2.236,10,0,1,1,No
Robert Aguilar,001-245-581-3182x59444,192.168.0.227,2,0,6,1,No
Kevin Nunez,001-560-547-0656x999,192.168.2.222,7,0,1,1,No
Sandra Bradley,(914)878-5543x8909,192.168.3.179,10,0,1,1,No
Ronald Cruz,(797)072-6409x66886,192.168.0.161,1,0,6,-1,Yes
Samuel Campos,643-060-2295,192.168.1.44,10,0,1,1,No
Michelle Johnston,173-201-4698,192.168.2.37,2,0,1,1,No
Gary Bennett,511.006.7455x0687,192.168.3.143,9,0,1,1,No
Paige Mayo,(845)576-8100,192.168.0.141,6,0,1,1,No
Vicki Hampton,336-997-3133x5862,192.168.3.177,6,0,1,1,No
Kyle Simmons,(553)862-5158x569,192.168.2.251,2,0,1,1,No
Summer Campbell,001-791-560-3442x000,192.168.2.146,9,0,1,1,No
Shelly Williams,001-405-532-9722x279,192.168.0.160,7,0,1,1,No
Sylvia Baker,542.614.4636,192.168.0.235,1,0,1,1,No
Jeremy Kaufman,(010)970-7230,192.168.2.18,3,0,1,1,No
Beth Edwards,482-350-9410,192.168.2.114,8,0,1,1,No
Maurice Reeves,771-987-7010,192.168.1.229,10,0,1,1,No
Edward Taylor,001-569-257-9720,192.168.1.95,5,0,3,-1,Yes
Cynthia Hurst,(544)649-1184x1176,192.168.2.157,9,0,1,1,No
Garrett Mccormick,(242)089-0093x367,192.168.2.222,8,0,1,1,No
David Griffin,651-931-9538,192.168.0.59,3,0,4,1,No
Jeff Mclean,+1-984-617-0093x43199,192.168.2.38,6,0,1,1,No
Frank Garrison,(097)855-5579,192.168.3.59,10,0,1,1,No
Lance Lee,770.245.9553x879,192.168.2.25,10,0,1,1,No
Melanie Anderson,488.493.7127,192.168.0.4,4,0,1,1,No
Keith Cross,+1-071-841-3366x685,192.168.2.140,4,0,6,1,No
April Brooks,(101)340-3042x47427,192.168.1.28,5,0,1,1,No
Jennifer Moran,(234)621-6410x371,192.168.1.210,8,0,4,1,No
Jeff Olsen,001-696-038-5984,192.168.2.15,10,0,1,1,No
Lauren Sanchez,(389)907-0833,192.168.1.185,4,0,3,-1,Yes
Denise Lee,001-389-892-9074x965,192.168.2.224,1,0,1,1,No
Brandy Edwards,866-513-1269x4743,192.168.1.119,3,0,6,1,No
James Hernandez,107-137-3288,192.168.0.184,9,0,1,1,No
Michael Black,782-373-9887x3684,192.168.1.216,4,0,6,1,No
Juan Parker,429-194-8936,192.168.1.67,7,0,3,1,No
Joseph Simpson,459-687-9721,192.168.3.101,10,0,1,1,No
Michael Robinson,(618)155-9046x36173,192.168.3.174,5,0,1,1,No
Kristopher Hayes,689-576-8028,192.168.2.13,1,0,1,1,No
Jennifer Johnson,551-261-9543,192.168.2.110,3,0,1,1,No
Mark Ewing,+1-615-294-7124x74930,192.168.2.107,5,0,1,1,No
John Powell,+1-251-550-1482x45795,192.168.2.26,5,0,1,1,No
Harry Bryant,+1-948-640-8985x0235,192.168.2.105,2,0,1,1,No
Cassandra White,712-227-8933x442,192.168.2.27,7,0,1,1,No
Cathy Erickson,(640)696-3181x35987,192.168.2.213,6,0,1,1,No
David Francis,200-159-8241,192.168.1.204,3,0,1,1,No
Ryan Sweeney,823.421.2849,192.168.1.98,6,0,1,1,No
Logan Jackson,(256)566-2335,192.168.2.32,9,0,1,1,No
Shannon Lozano,+1-399-241-4058x66973,192.168.3.64,2,0,1,1,No
Heather Burke,592-494-3310,192.168.0.128,10,0,6,-1,Yes
Ann Rios,(454)096-1777,192.168.0.248,4,0,1,1,No
Jacob Martinez,3616878724,192.168.1.220,7,0,1,1,No
Jacob Watts,492.457.3782x6966,192.168.1.136,9,0,1,1,No
Kimberly Johnson,001-833-994-9885x5507,192.168.1.231,5,0,1,1,No
Steven Chen,+1-479-663-4671x024,192.168.0.27,5,0,1,1,No
Stacey Mack,386.892.6490x9505,192.168.3.118,4,0,1,1,No
Cassandra Thompson,001-251-469-0437,192.168.0.98,6,0,1,1,No
Christopher Nguyen,978-397-3089,192.168.1.242,3,0,1,1,No
Ashley Miller,721-044-9540,192.168.1.87,10,0,1,1,No
Linda Foster,+1-867-507-2682x043,192.168.1.67,7,0,1,1,No
Jennifer Silva,+1-720-639-9364,192.168.0.77,10,0,1,1,No
Tony Peterson,(929)482-7187x533,192.168.2.80,10,0,1,1,No
Sheri Tate,574-109-5911x03709,192.168.0.240,2,0,1,1,No
Levi Freeman,469.588.2712x85785,192.168.1.63,9,0,1,1,No
Lisa Whitaker,8603677986,192.168.2.131,3,0,1,1,No
Margaret Welch,+1-876-478-7252x2664,192.168.1.99,10,0,1,1,No
Christopher Peterson,684-546-6807,192.168.0.130,10,0,1,1,No
William Wright,(388)003-8982,192.168.3.225,4,0,1,1,No
Greg Lambert,4536880538,192.168.0.197,1,0,1,1,No
Margaret Flores,+1-589-932-9138x61029,192.168.1.94,5,0,1,1,No
Brian Johnson,7442034693,192.168.1.69,10,0,1,1,No
David Sellers,096-774-8562,192.168.3.229,1,0,1,1,No
Shirley Harper,(450)305-5332x560,192.168.1.155,2,0,1,1,No
Holly Bradshaw,+1-153-000-3211,192.168.2.189,2,0,5,-1,Yes
Kaitlyn Gutierrez,+1-641-267-0079,192.168.1.223,3,0,1,1,No
Anthony Rodriguez,001-206-354-7043x5560,192.168.1.255,3,0,1,1,No
Daniel Wheeler,437-300-3577x166,192.168.0.229,6,0,1,1,No
John Crosby,(925)925-1036x169,192.168.2.3,1,0,1,1,No
Mary Gray,+1-302-141-7886x3111,192.168.1.254,3,0,1,1,No
Daniel Rice,(070)097-7215,192.168.3.22,5,0,1,1,No
Kimberly Jones,806.114.9847x15359,192.168.2.6,1,0,1,1,No
Melissa Reeves,001-956-609-5052x884,192.168.1.232,8,0,4,1,No
Connor Chan,2607580272,192.168.0.74,3,0,1,1,No
Rachel Cook,(275)826-5033x267,192.168.3.66,6,0,1,1,No
Joseph Mills,(759)693-1951,192.168.3.47,8,0,1,1,No
Kevin Green,(055)377-8460x58175,192.168.1.188,9,0,1,1,No
Samantha Cox,(719)813-0465,192.168.1.101,7,0,5,1,No
Edward Gordon,(915)073-2802x662,192.168.3.233,7,0,1,1,No
Eric Tran,739-095-8076x598,192.168.0.78,8,0,1,1,No
Spencer Clark,892-353-9812x555,192.168.0.177,5,0,1,1,No
Tammy Mcgee,+1-611-948-0901x0333,192.168.0.169,6,0,1,1,No
Peter Stevens,225.953.9715,192.168.0.213,10,0,4,-1,Yes
Stacy Johnson,8383201951,192.168.2.127,8,0,1,1,No
Suzanne Garcia,(336)591-9410x087,192.168.1.5,10,0,1,1,No
Kayla Ross,488.608.7725x8686,192.168.0.50,6,0,1,1,No
Cheryl Marks,001-810-869-8785x161,192.168.2.38,7,0,6,-1,Yes
Matthew Miles,2512373499,192.168.0.181,2,0,3,1,No
Kathryn Jones,470-889-0074x553,192.168.3.139,5,0,1,1,No
Caroline Fritz,+1-972-042-8129x34015,192.168.2.181,5,0,1,1,No
Alexandria Sanchez,596-163-0119,192.168.0.179,2,0,1,1,No
Kayla Robles,(246)413-6483,192.168.3.103,1,0,1,1,No
Michael Sullivan,372.898.0658,192.168.1.192,1,0,1,1,No
Douglas Andrews,711-044-1614x34128,192.168.2.236,10,0,3,-1,Yes
Andrew Taylor,140.615.8215x3248,192.168.1.204,2,0,1,1,No
Meredith Parks,810.096.6568x476,192.168.1.142,7,0,1,1,No
Brittany Ramos,+1-922-926-6236x9230,192.168.3.130,3,0,1,1,No
Nathaniel Fox,(446)674-7820,192.168.1.198,7,0,1,1,No
Dean Clark,152.053.2050,192.168.2.3,10,0,5,-1,Yes
Summer Andrews,(872)807-1467x890,192.168.1.219,10,0,1,1,No
Brian Foster,001-227-568-9162x232,192.168.0.228,6,0,1,1,No
Joseph Murillo,(569)239-7410,192.168.1.142,10,0,1,1,No
Christopher Wilkinson,(639)523-0377x143,192.168.2.27,7,0,1,1,No
Maria Padilla,+1-608-066-3538x793,192.168.2.184,2,0,6,1,No
Alexander Knight,(191)567-5307,192.168.0.134,10,0,1,1,No
Oscar Simmons,430.206.3202x141,192.168.0.192,7,0,5,1,No
Jonathan Nelson,+1-948-610-9250x851,192.168.0.225,8,0,6,-1,Yes
Daniel Hill,+1-980-988-3331x577,192.168.1.45,9,0,1,1,No
Mark Smith,001-356-036-3944,192.168.1.28,2,0,1,1,No
Matthew Vega,+1-932-224-8413,192.168.2.115,4,0,1,1,No
Raymond Mcclain,(765)597-1623,192.168.2.69,3,0,1,1,No
Diana Wright,681.469.3983x259,192.168.0.209,8,0,1,1,No
Aaron Miller,(361)568-9597x162,192.168.3.235,2,0,1,1,No
Bradley Williams,1604638446,192.168.2.92,6,0,1,1,No
David Waters,829.428.0935x6542,192.168.0.146,5,0,1,1,No
George Hernandez,6628220029,192.168.1.210,2,0,1,1,No
Miranda Owens,063.655.4187x63783,192.168.2.151,7,0,1,1,No
Hannah Garcia,360-003-8904x2299,192.168.1.71,5,0,1,1,No
Brian Smith,732.991.3031x10269,192.168.0.135,9,0,1,1,No
Patricia Wilson,001-176-198-2909,192.168.2.119,6,0,1,1,No
Sophia Hayes,(775)878-3083,192.168.2.246,9,0,6,1,No
Mrs. Lindsey Jefferson DVM,(259)626-5369,192.168.0.120,5,0,4,-1,Yes
Crystal Fernandez,001-816-613-2998x83851,192.168.1.11,3,0,4,1,No
Angela Mcdonald,(581)717-7619,192.168.1.125,8,0,4,1,No
Karen Park,(199)920-7447x4630,192.168.3.181,3,0,1,1,No
Brad Bright,7168055263,192.168.0.89,7,0,1,1,No
Lisa Lucas,+1-415-718-0637x49327,192.168.2.91,4,0,1,1,No
Patrick Moore,(201)157-3483,192.168.1.58,8,0,1,1,No
Scott Jackson,290.304.4075x41980,192.168.0.161,4,0,1,1,No
Jordan Mitchell MD,+1-621-786-8972,192.168.2.211,3,0,1,1,No
Anna Gates,152.036.1041x562,192.168.0.191,1,0,1,1,No
Adam Nunez,+1-100-140-8766x8513,192.168.2.160,3,0,5,-1,Yes
Tyler Warner,001-122-902-5079x71438,192.168.2.114,3,0,6,1,No
Marissa Hernandez,001-808-814-3218x35320,192.168.2.45,1,0,1,1,No
Leonard Clark,001-234-849-6440x147,192.168.3.192,6,0,1,1,No
Joseph Lopez,224-653-1879x52668,192.168.1.108,2,0,3,1,No
Dustin Kramer,327-126-2336,192.168.0.97,9,0,1,1,No
David Mendoza,+1-076-384-6155x36789,192.168.2.187,9,0,1,1,No
Sharon Simpson,886-597-0392,192.168.0.210,4,0,2,-1,Yes
Betty Webster,560.462.8079x7557,192.168.1.14,7,0,1,1,No
